Hill Code,British National Grid reference,Name,Latitude,Longitude
'0930.H',NY 26043 29080,Skiddaw,54.65138, -3.14773
'0691.H',NY 29089 31188,Great Calva,54.67076, -3.10104
'0868.H',NY 32345 27708,Blencathra,54.63994, -3.04976
'0726.H',NY 33394 22541,Clough Head,54.59365, -3.03233
'0857.H',NY 34204 20529,Great Dodd,54.57568, -3.01935
'0789.w',NY 33568 19562,Watson's Dodd,54.56690, -3.02897
'0844.H',NY 34308 18907,Stybarrow Dodd,54.56112, -3.01738
'0883.H',NY 34282 17415,Raise,54.54771, -3.01745
'0863.H',NY 33780 16664,White Side,54.54089, -3.02504
'0925.N',NY 33745 15543,Helvellyn Lower Man,54.53082, -3.02532
'0950.H',NY 34246 15110,Helvellyn,54.52699, -3.01749
'0891.N',NY 34367 14217,Nethermost Pike,54.51898, -3.01542
'0859.H',NY 34627 13067,Dollywaggon Pike,54.50868, -3.01115
'0873.H',NY 35873 11754,Fairfield,54.49704, -2.99162
'0737.H',NY 34420 11530,Seat Sandal,54.49485, -3.01400
'0553.w',NY 31943 11155,Steel Fell,54.49115, -3.05215
'0537.w',NY 30162 10411,Calf Crag,54.48422, -3.07946
'0763.H',NY 28089 09523,High Raise (High White Stones),54.47595, -3.11124
'0736.W',NY 28644 08891,Sergeant Man,54.47035, -3.10252
'0723.N',NY 27975 07992,Thunacar Knott,54.46218, -3.11262
'0735.H',NY 28173 07400,Harrison Stickle,54.45689, -3.10942
'0708.H',NY 27399 07356,Pike of Stickle,54.45638, -3.12135
'0651.H',NY 24911 07568,Rossett Pike,54.45793, -3.15977
'0903.H',NY 24475 06449,Bowfell,54.44781, -3.16621
'0885.H',NY 23651 07504,Esk Pike,54.45716, -3.17919
'0910.H',NY 22672 08385,Great End,54.46493, -3.19452
'0931.H',NY 22320 07349,Ill Crag,54.45557, -3.19967
'0935.H',NY 21857 07554,Broad Crag,54.45734, -3.20687
'0978.H',NY 21541 07216,Scafell Pike,54.45425, -3.21165
'0964.H',NY 20682 06478,Scafell,54.44749, -3.22470
'0629.H',NY 17337 08473,Yewbarrow,54.46488, -3.27683
'0826.H',NY 16532 10606,Red Pike (Wasdale),54.48391, -3.28985
'0819.N',NY 15755 11674,Steeple,54.49338, -3.30214
'0892.H',NY 17126 12104,Pillar,54.49747, -3.28110
'0802.H',NY 19495 10486,Kirk Fell,54.48331, -3.24409
'0899.H',NY 21101 10320,Great Gable,54.48207, -3.21926
'0801.H',NY 21466 10716,Green Gable,54.48569, -3.21374
'0715.H',NY 21454 11916,Brandreth,54.49647, -3.21424
'0697.N',NY 21730 12566,Grey Knotts,54.50235, -3.21015
'0754.H',NY 22289 15325,Dale Head,54.52723, -3.20225
'0727.H',NY 21567 16516,Hindscarth,54.53782, -3.21372
'0738.H',NY 20193 16870,Robinson,54.54078, -3.23505
