Name,British National Grid reference,Latitude,Longitude
Skiddaw,NY 26043 29080,54.65138,-3.14773
Great Calva,NY 29089 31188,54.67076,-3.10104
Blencathra,NY 32345 27708,54.63994,-3.04976
Clough Head,NY 33394 22541,54.59365,-3.03233
Great Dodd,NY 34204 20529,54.57568,-3.01935
Watson's Dodd,NY 33568 19562,54.5669,-3.02897
Stybarrow Dodd,NY 34308 18907,54.56112,-3.01738
Raise,NY 34282 17415,54.54771,-3.01745
White Side,NY 33780 16664,54.54089,-3.02504
Helvellyn Lower Man,NY 33745 15543,54.53082,-3.02532
Helvellyn,NY 34246 15110,54.52699,-3.01749
Nethermost Pike,NY 34367 14217,54.51898,-3.01542
Dollywaggon Pike,NY 34627 13067,54.50868,-3.01115
Fairfield,NY 35873 11754,54.49704,-2.99162
Seat Sandal,NY 34420 11530,54.49485,-3.014
Steel Fell,NY 31943 11155,54.49115,-3.05215
Calf Crag,NY 30162 10411,54.48422,-3.07946
High Raise (High White Stones),NY 28089 09523,54.47595,-3.11124
Sergeant Man,NY 28644 08891,54.47035,-3.10252
Thunacar Knott,NY 27975 07992,54.46218,-3.11262
Harrison Stickle,NY 28173 07400,54.45689,-3.10942
Pike of Stickle,NY 27399 07356,54.45638,-3.12135
Rossett Pike,NY 24911 07568,54.45793,-3.15977
Bowfell,NY 24475 06449,54.44781,-3.16621
Esk Pike,NY 23651 07504,54.45716,-3.17919
Great End,NY 22672 08385,54.46493,-3.19452
Ill Crag,NY 22320 07349,54.45557,-3.19967
Broad Crag,NY 21857 07554,54.45734,-3.20687
Scafell Pike,NY 21541 07216,54.45425,-3.21165
Scafell,NY 20682 06478,54.44749,-3.2247
Yewbarrow,NY 17337 08473,54.46488,-3.27683
Red Pike (Wasdale),NY 16532 10606,54.48391,-3.28985
Steeple,NY 15755 11674,54.49338,-3.30214
Pillar,NY 17126 12104,54.49747,-3.2811
Kirk Fell,NY 19495 10486,54.48331,-3.24409
Great Gable,NY 21101 10320,54.48207,-3.21926
Green Gable,NY 21466 10716,54.48569,-3.21374
Brandreth,NY 21454 11916,54.49647,-3.21424
Grey Knotts,NY 21730 12566,54.50235,-3.21015
Dale Head,NY 22289 15325,54.52723,-3.20225
Hindscarth,NY 21567 16516,54.53782,-3.21372
Robinson,NY 20193 16870,54.54078,-3.23505
